financial,logistics,会员编号,vipId
financial,logistics,订单编号,orderId
financial,logistics,淘宝物流Id,tbExpressId
financial,logistics,物流Id,expressId
financial,logistics,快递公司名称,expressName
financial,logistics,寄件时间,begainTime
financial,logistics,寄件人,linkName
financial,logistics,寄件人性别,linkSex
financial,logistics,寄件人手机,linkMobilePhone
financial,logistics,寄件人座机,linkTelePhone
financial,logistics,寄件人身份证,linkIdCard
financial,logistics,寄件人邮箱,linkEmail
financial,logistics,寄件人地址,linkAddress
financial,logistics,寄件人邮编,linkZipCode
financial,logistics,寄件公司,sendCompany
financial,logistics,收件人,name
financial,logistics,收件人别名,nameAlias
financial,logistics,收件人昵称,nickname
financial,logistics,收件人性别,sex
financial,logistics,收件人电话,mobilePhone
financial,logistics,收件人座机,telePhone
financial,logistics,收件人省,province
financial,logistics,收件人市,city
financial,logistics,收件人县,county
financial,logistics,收件人地址,address
financial,logistics,收件人邮编,zipCode
financial,logistics,收件人身份证,idCard
financial,logistics,收件人邮箱,email
financial,logistics,收件人银行卡,cardNo
financial,logistics,收件人编码,idCode
financial,logistics,收件网点编码,networkCode
financial,logistics,收件时间,endTime
financial,logistics,收件员,receiver
financial,logistics,货物价格,price
financial,logistics,货物名称,good
financial,logistics,货物型号,goodModel
financial,logistics,货物数量,goodNumber
financial,logistics,快递内容,expressContent
financial,logistics,下单日期,orderDate
financial,logistics,下单时间,orderTime
financial,house,楼盘所在省,province
financial,house,楼盘所在市,city
financial,house,楼盘详细地址,address
financial,house,业主1,name
financial,house,业主1别名,nameAlias
financial,house,业主2,nameSecond
financial,house,业主2别名,nameSecondAlias	
financial,house,身份证	,idCard	
financial,house,手机号,mobilePhone	
financial,house,座机号,telePhone
financial,house,联系号码,contactPhone
financial,house,传真,fax
financial,house,邮编,zipCode
financial,house,银行帐号,housedNo
financial,house,备注,note
financial,house,小区名称,communityName
financial,house,小区编号,communityNum
financial,house,单元,unit
financial,house,楼号,houseNo
financial,house,楼层,housFloor=null;
financial,house,房号,roomNum	
financial,house,房屋类型(别墅、楼房),houseType
financial,house,户型,roomType
financial,house,房屋面积,houseArea	
financial,house,出租价格,rentPrice
financial,house,销售价格,salePice
financial,house,入住时间,liveTime
financial,house,入住情况,Occupancy;			
financial,house,银行名称,bank
financial,house,合同编号,contractNo
financial,house,合同总价,contractTotalPrice
financial,house,合同单价,contractUnitPrice	
financial,house,签署日期,signedDate
financial,house,销售状态(合同、认购),saleStatus
financial,house,销售编号,saleNum
financial,house,业务员,counterMan
financial,house,付款方式(分期)及名称),modelOfPay
financial,house,款项名称(定金、押金),payName
financial,house,款项金额,amount			
financial,house,物业费,propertyFee
financial,house,公安编号,policeLocation
financial,house,车库编号,houseageNum
financial,house,车库面积,houseageArea
financial,house,车库总价,houseageTotalPrice
financial,finance,姓名,name
financial,finance,姓名别名,nameAlias
financial,finance,性别,sex
financial,finance,民族,nationality
financial,finance,籍贯,birthPlace
financial,finance,身份证号,idCard
financial,finance,出生日期,birthDay
financial,finance,手机号码,mobilePhone
financial,finance,家庭电话,telePhone
financial,finance,传真,fax
financial,finance,Email,email
financial,finance,家庭住址,address
financial,finance,邮编,zipCode
financial,finance,公司,company
financial,finance,收入,income
financial,finance,贷款额度,loanLimit
financial,finance,贷款时间,loanDate
financial,finance,贷款类型,loanType
financial,finance,投保金额,insuredMoney
financial,finance,工资发放形式,salaryForm
financial,finance,工作经验,experience
financial,finance,公司地址,companyAddress
financial,finance,公司电话,companyMobilePhone
financial,finance,卡类型,cardType
financial,finance,学历,education
financial,finance,银行名称,bankName
financial,finance,额度,cardLimit
financial,finance,省,province
financial,finance,市,city
financial,finance,申请时间,applyTime
financial,finance,启用时间,startTime
financial,finance,卡有效期,validTime
financial,finance,银行卡号,cardNo
financial,finance,炒股资金,fund
financial,finance,股票类型,stockType
financial,finance,账户类型,accountType
financial,finance,股市信息,stockMeg
financial,finance,股票经纪人,broker
financial,finance,付款方式,transferType
financial,finance,结束时间,endTime
financial,finance,保险类别,insuranceType
financial,finance,客户类别,clientType
financial,carOwner,姓名,name
financial,carOwner,姓名别名,nameAlias
financial,carOwner,手机号码,mobilePhone
financial,carOwner,身份证,idCard
financial,carOwner,住址,address
financial,carOwner,邮政编码,zipCode	
financial,carOwner,车牌,licensePlate
financial,carOwner,品牌,carBrand
financial,carOwner,上牌时间,licenseTime
financial,carOwner,是否有车险,isInsurance
financial,carOwner,车险购买时间,insuranceTime
financial,carOwner,登记日期,registerTime
financial,carOwner,登记地址,registerAddress
financial,carOwner,车架号,frameNum
financial,carOwner,厂家名称,manufactoryName
financial,carOwner,汽车名称,carName
financial,carOwner,车辆型号,carModel
financial,carOwner,汽车价格,carPrice
financial,carOwner,汽车类型,carType
financial,carOwner,发动机号,engineNum
financial,carOwner,汽车颜色,carColor
financial,carOwner,证件名称,cardName
financial,carOwner,国产/进口,homeBred
financial,carOwner,使用性质,useNature
financial,carOwner,保险公司,insuranceComp
financial,carOwner,保险号,insuranceNum
financial,carOwner,发证时间,issueTime
financial,carOwner,终止时间,endTime
financial,business,公司编码,companyCode
financial,business,公司名称,company
financial,business,公司电话,telePhone
financial,business,公司移动电话,mobilePhone
financial,business,公司传真,fax
financial,business,公司负责人,companyHeadAlias
financial,business,公司联系人,companyContactAlias
financial,business,职位,position
financial,business,地址,address
financial,business,邮编,zipCode
financial,business,邮箱,email
financial,business,注册资金,registerCapital
financial,business,主营行业,mainIndustry
financial,business,主营产品,mainProduct
financial,business,公司职工人数,workerNum
financial,business,公司成立时间,setupDate
financial,business,网址,website
